username,anime_id,score
Monomatt0013,1726,5.0
ivoza,38329,8.0
MoneybagsMcGee,59561,6.0
FpsArena,24687,8.0
-Hogarth-,1462,8.0
ashuweeb,20583,9.0
artsysasaki,11111,9.0
isiah1214,40787,8.0
ashlynww,30778,6.0
Mont_,37985,7.0
artkage_,45576,8.0
Tiag0,44037,2.0
MonstroDoOlhoSo,15689,8.0
Karma_BW,3455,8.0
Kasraj,35790,8.0
Riwn66,49109,7.0
MonkeyDHunter,11843,8.0
-Azurel-,940,9.0
psychowera,6877,8.0
Ripti,55791,9.0
ixShiroKishi,1965,10.0
-INFERNO,8740,9.0
CNGeorge,13391,8.0
ppurin,37426,9.0
Thryms,58913,8.0
artas152,35507,7.0
MonsterEnder,23321,7.0
Rivallu,18177,7.0
poyomon99,11769,4.0
pradeep_20144,223,10.0
Ristarchik,4182,7.0
Karlsefni13,40938,6.0
CakesGalore_,42203,9.0
Ritor,11757,4.0
MonjaElisa,29017,3.0
iwatch2muchanime,3795,7.0
Kash356,918,7.0
Forbiddensimp,44931,9.0
Monix-sama,24271,7.0
CSRED,59750,10.0
pozadoza,25777,8.0
Four420twenty,58567,8.0
Kata89,15809,5.0
Monkeyking908,61,8.0
Foxx_03,8426,7.0
powerpig,32189,5.0
CPUNeptune95,17513,7.0
asetrisk,4565,6.0
Tigre_,53526,7.0
Rizqy_FA,29803,8.0
-Emiya-,56285,6.0
Fox0073,33047,8.0
ThymeSeyU,39551,9.0
probxxx,38034,4.0
itsjayde,513,9.0
-Azuki-,37086,8.0
Monkeryz,42156,5.0
KatarinaFi,36239,6.0
Foosen,18679,7.0
as33,1387,8.0
powlowc,50461,6.0
Monkeyking908,41623,9.0
Foxyclaws,50796,8.0
Risa0_0,41619,8.0
Foyxal,22319,7.0
RitaMita,58853,7.0
prettiawkward,1,5.0
-Akirion-,31933,9.0
Monsi,53127,8.0
ForeverGolden,2787,10.0
Kartoffel13,59845,10.0
Thoru_UwU,32792,10.0
Kashim2484,72,10.0
TiagoGomes,937,4.0
Foxyclaws,43779,3.0
CMZeus,30727,8.0
MoniStar,20853,8.0
Kashio13,34902,8.0
CThrall,50713,6.0
Riusnaan,512,7.0
MongoDB,31404,6.0
armedlmpala,1120,8.0
itsybits,32182,9.0
-MAZ1NO,37525,9.0
iurikill111,36816,7.0
Ritinha_chan,32935,10.0
-Arcane-,32547,8.0
CaLeah282,21647,7.0
ForgiveMySkills,52588,9.0
arsenyshalin,54900,8.0
Rio-chan97,31478,8.0
MonkishGorgon8,35968,9.0
Caioviski09,36039,1.0
arrrrrrrr,46431,7.0
Monsmania,8407,8.0
itsmee_0e,54898,9.0
Forgodzake,31327,8.0
Throwawaybathtow,41694,7.0
-Araragi-,25517,7.0
CaSV,35247,9.0
Fr1d4y_94,21069,3.0
pranavx_007,30296,6.0
Kartik_1212,50709,7.0
-Loli-,18671,8.0
istrie,23755,8.0
Fovez,9008,4.0
-FacetiousGuy-,1362,7.0
-Cyberia-,11837,4.0
itslitmo,4437,7.0
ashe,457,10.0
Forw3n,37987,8.0
iwum_bo,21561,6.0
CaixaCaixa,31722,6.0
arsenking,45055,8.0
FranXico1997,20899,8.0
KasutoroSama,25013,8.0
ito-,49938,6.0
Karma717,23673,8.0
ForflayyO,40454,7.0
MonkeyD_Rimuru,10686,9.0
asahiruyoru,57181,8.0
itamanamikaze,48561,8.0
professorneo,17265,6.0
RoKuRotAz,8359,9.0
TiagoMe,14719,9.0
-Arifin,53434,7.0
Thumbsofglory,34281,7.0
KatjieKat,36563,7.0
Moon013,57192,7.0
Caio0202,5081,8.0
-AC-,3012,10.0
Fr1d4y_94,25161,8.0
iulian700,55809,10.0
Franciscojesus07,39617,2.0
Frabosco,189,7.0
Caio_Chat,31859,3.0
